teleplay_id,name,genre,type,episodes,members,rating
9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,341,5.96
1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,8230,6.62
33909,Marine Dreamin&#039;,Music,Music,1,126,5.26
10585,Chuunen Punk,Music,Music,1,308,5.56
28993,Hand Soap,"Dementia, Psychological",long,1,246,4.97
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,80394,7.55
7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,806,6.09
10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,1775,6.57
4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,315,6.22
3034,Kurai Mirai,Restricted,short,2,2004,6.24
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,69000,7.83
5606,Ryoujoku Joshi Gakuen,Restricted,short,2,450,6.02
3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,2399,6.51
30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",long,1,60,5.35
9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,8025,7.14
20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,98544,8.05
2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,2030,6.2
3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,1604,6.22
6090,Hon Ran,"Action, Magic, Martial Arts",short,1,781,5.82
14207,Lovely Series,Restricted,short,2,174,5.29
1883,Kappa no Kaikata,Comedy,medium,26,1209,6.31
1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,4019,7.37
32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,96,5.16
710,Rec,"Comedy, Drama, Romance",medium,9,68951,7.66
10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,2202,6.27
29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,92,5.86
1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,4106,6.82
5040,One Outs,"Psychological, Seinen, Sports",medium,25,83056,7.86
3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,677,6.9
32065,Kimi no Sumu Machi,Comedy,Special,1,398,5.78
24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,42918,7.08
3550,Midori no Makibao,"Comedy, Sports",medium,61,488,6.51
18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,15887,7.63
28053,Kumo no Ito,Fantasy,long,1,158,5.44
